S_i,A_i
44,97
62,79
43,17
72,13
37,15
35,80
80,40
43,15
36,37
70,54
16,81
31,92
42,18
86,53
90,61
45,10
20,20
82,83
33,12
32,70
83,47
61,59
16,45
85,61
15,31
54,79
78,66
91,55
96,58
25,61
44,76
56,52
70,18
17,42
42,90
72,45
41,14
91,38
29,53
86,23
16,97
58,65
82,34
75,49
67,47
57,83
57,95
92,46
63,90
86,36
64,73
17,21
62,72
41,83
34,89
35,72
53,51
70,16
41,60
58,39
72,45
43,78
34,16
13,61
69,34
78,60
19,79
10,85
58,32
97,29
51,40
21,69
76,14
23,45
99,91
86,70
16,37
62,35
38,43
100,27
99,86
13,44
21,89
66,100
34,93
26,47
37,72
65,22
22,68
16,19
47,39
41,57
23,70
69,99
44,82
51,60
25,94
50,61
83,22
37,47
